postal_code,segment_number,segment_description,average_household_income,average_household_net_worth,home_type
M6P 1G5,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6R 1M8,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6R 2Y6,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 1H5,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 2T9,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
M6S 3L5,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
M6S 3L9,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 3R1,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 3V8,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M8X 1K7,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
P0P 2B0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
R0E 1L0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
R0K 0A0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
R2H 0A6,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R2H 1K3,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R2J 4A5,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
R2M 2R3,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
R3G 1C1,52,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","$85,044","$340,098",Apartments
R3G 1P1,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
R3G 1V6,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3G 1V8,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
R3J 0B1,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
R3K 0K8,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
R3L 1X1,28,"Younger, single urban white-collar households | Latte Life represents a diverse segment of young adults, often aged 25 to 34, who are predominantly found in major Canadian cities like Vancouver and Montreal. With a high tendency to rent, they often reside in low-rise apartments, reflecting their mobility as they begin their careers and build their lives. This segment places a strong emphasis on health and fitness while regularly engaging in nightlife and events such as music and film festivals. While they enjoy indulging in dining out and exploring what their cities have to offer, they also prioritize sustainability and wellness. Their lifestyle reflects a blend of urban energy, cultural curiosity, and mindful living.","$114,620","$640,083",Low Rise Apt
R3L 2V1,51,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$85,103","$583,438",Apt 5+
R3M 0J2,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
R3M 1H8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3M 3M9,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3M 3N1,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3N 0T8,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
R3P 1B1,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3R 0P7,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
R3R 0S6,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$129,387","$1,255,437",Single Detached
R3T 0J8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3T 1L5,36,"Diverse, middle-income, high-school-educated, urban families | Middle-Class Mosaic is a diverse blend of middle-income families living in established urban neighbourhoods. The group includes a mix of couples, lone-parent families, and larger households, with a presence of both first- and second-generation Canadians. High school and college-educated residents earn moderate incomes through blue-collar and service sector jobs. Focused on family-oriented activities, they enjoy local entertainment such as theatres and community sports events, while remaining mindful of budget-friendly options. Their emphasis on healthy living, cultural inclusion, and community participation reflects a grounded lifestyle centered on resilience, routine, and shared experiences.","$110,593","$581,073",Single Detached
S7T 1A3,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
T2C 1L1,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
T2G 1A1,,,,,
T2J 3W6,4,"High-income, middle-aged, suburban families and couples | Turbo Burbs represents an affluent suburban segment, primarily consisting of middle-aged families. While this segment holds mixed occupations, they commonly report household incomes exceeding $200,000. Residents actively participate in neighbourhood initiatives, sports, and outdoor recreation. With a strong focus on ethical consumerism and ecological consciousness, this segment places importance on aligning their actions with family values and social responsibility. Their well-designed homes and outdoor spaces reflect a love for comfort and community, underscoring a lifestyle rooted in connection, balance, and purposeful living.","$227,257","$2,145,466",Single Detached
T2K 0X4,51,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$85,103","$583,438",Apt 5+
T2T 0L8,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
T6E 2R7,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
T6K 3G1,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
V0E 1V3,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0E 1Y0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0G 1B0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0H 1M0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0H 1X7,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0H 1Z9,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0N 2W6,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0N 3A0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0P 1H0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0P 1K0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0P 1N0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0P 1W0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0P 1Z0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
